"question_flag","answer_flag","interjection_flag","speech_flag","petition_flag","quote_flag","motionnospeech_flag","chamber_flag","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","—————","N/A","N/A","/hansard/chamber.xscript/business.start/para[1]","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The PRESIDENT (Senator the Hon. Margaret Reid) took the chair at 9.30 a.m., and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/para[2]","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","Debate resumed from 7 March 2000, on motion by Senator Vanstone:","Second Reading","NAVIGATION AMENDMENT (EMPLOYMENT OF SEAFARERS) BILL 1998","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/para","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","That this bill be now read a second time.","Second Reading","NAVIGATION AMENDMENT (EMPLOYMENT OF SEAFARERS) BILL 1998","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/motion/para","N/A","N/A"
"0","0","0","1","0","0","0","1","Macdonald, Sen Ian","YW4","Queensland","LP","Minister for Regional Services, Territories and Local Government","12301","—When the Senate rose last night, I was summing up the second reading debate on the Navigation Amendment (Employment of Seafarers) Bill 1998. I was indicating that, whilst I expect little better from the Labor Party, captive as they are to the unions—most of the Labor senators are here only because of the support of the unions; an ever decreasing element in our society these days as people realise that the unions really do not have a lot to contribute—I was disappointed at the Democrats level of involvement in this bill.  The government is trying to achieve a modern and efficient waterfront for the good of Australia. To do that, we rely on public servants, on people who have knowledge of the industry to look through it and work their way through it. They look at the facts and the arguments in an independent way. Our advisers have no particular interest except to make the industry much better, more efficient and more modern for the benefit of Australia. I have been told by Mr Anderson, the minister, that we have offered the Democrats a briefing not from Mr Andersons office and not from me, but from the public servants, the bureaucrats, the department who understand this issue. They could go through the legislation with the Democrats and explain what each clause means, why it is there, what the pros of the proposal are, what the cons of the proposal are and let the Democrats understand just what it is all about in a calm and rational way. Regrettably, the Democrats have not taken us up on that offer of consultation. That is a shame. I repeat the offer to Senator Greig—I know he is relatively new here—that the bureaucrats are available not to convince you one way or the other, not to run a line, but to simply answer your questions, to explain why various provisions are there and to let you understand what the facts are so you can make a decision. Regrettably, Senator Greig and the Democrats did not avail themselves of the offer of some independent advice and they have sought advice elsewhere. I do not know, but I can only assume from Senator Greigs speech in the second reading debate that his source of advice was the Maritime Union of Australia. We are fairly well aware of the Maritime Union of Australias reputation. Perhaps they do some good work, but they have a bit of a reputation. They have a major influence on the Labor Party and its senators in this chamber. They are there desperately seeking to maintain their position in society as the rest of the Australian society understands that unions are becoming more and more irrelevant because of the way they have approached things. The union bosses are determined to maintain their power as much as possible. I note that Senator Greig expressed some disappointment at the majority committee report where those sorts of sentiments were expressed. Senator Greig, this is the real world. That is what it is about. The report of the majority of the committee is, in that regard, worthy of consideration. You obviously considered it and rejected it. Can I say to you that you have to get your advice from places elsewhere than that. I am aware that Senator Greigs background is relatively maritime. You understand what it is like around the wharves, as I recall from your maiden speech. Can I suggest to you that, as well as talking to the Maritime Union of Australia, you should perhaps get some other advice. You do not have to take it. You do not have to be swayed by arguments, but at least get the facts right. I regret to say, from the things you have said in your speech at the second reading stage, that it is fairly clear that your consultation has been limited. I do not say that in a critical way. What I am saying to you, Senator Greig, and your colleagues is, `Please take some advice from the bureaucrats. Do not have Mr Andersons office there, do not have me there, do not have my office there, but speak to the bureaucrats and understand what is being proposed and where some of the things the MUA have told you are simply not correct. In the few minutes available to me, I want to go through some of the issues that Senator Greig mentioned in his speech which are factually incorrect. I mentioned briefly last night the articles of agreement. The Democrats are proposing that the articles of agreement system be retained because the Democrats are told and they believe that they provide a record of a seafarers service at sea. The Democrats also believe that AMSA should supervise the articles of agreement process. Senator Greig, the articles of agreement system was originally established to cover a casual employment situation on ships and it was an appropriate system for that situation. However, seafarers in Australia are now employed on a permanent basis, not a casual basis, under individual company employment agreements registered with the Industrial Relations Commission. Under these circumstances there is no longer any need for the oldstyle articles of agreement system or for AMSA to actually supervise these agreements. The Industrial Relations Commission is now the appropriate body to oversight seafarers company employment arrangements. So that article of agreement system is oldfashioned. It may have served a purpose years and decades ago, but it is no longer relevant. There was an issue of crew handling of cargo. As I understand Senator Greigs speech, the Democrats do not support the removing of the restrictions on a ships crew handling cargo because of safety considerations. That is what I understand he was saying—it was all related to safety considerations. The first point to note is that the Navigation Act, as it now stands, permits ships crews to handle cargoes where there is not a sufficiency of shore labour. It is quite common for ships crews to handle cargo at small ports where there is no stevedoring labour available. That is already happening, Senator Greig. There are not safety considerations there—well, there are safety considerations but it is deemed to be done safely. So the suggestion that this provision has to apply because of safety considerations is just plain wrong. Whoever has told you that is telling you the wrong information obviously for the wrong reasons. The safety standards covering the loading and discharge of ships cargoes apply equally to the ships crews as they do to the shore labour. Again, it does not matter whether the ships crew are doing it or whether shore labour is doing it, Senator Greig: the same standards, the same regulations, apply in a safety way. So safety is dealt with by other means, not by that particular provision. When it comes to container terminals with large shore side cargo handling equipment, the terminal operators employ their own permanent labour force trained to handle their equipment. They clearly do not want untrained staff from the ships jumping on board to handle that equipment. The suggestion that this approach by the Labor Party and the Maritime Union is the right one is simply not factual. The shore side cargo handling equipment is handled by professional people and the last thing the owners would want is untrained sea workers, ship board people, actually handling such equipment. The Marine Council was mentioned. As I understand the Democrats position, the Marine Council was to be retained as an independent regulator of ship board employment arrangements. I am told, Senator Greig, that the Marine Council has not met in 12 months. It has nothing to do with the current dispute being heard by the Industrial Relations Commission. It is now the commissions role to exercise oversight of employment arrangements, not the Marine Council. I understand that the Marine Council has not met for 12 months but even before that I understand it met fairly infrequently. So if people were relying on the Marine Council to oversight employment arrangements, then it has not worked for many, many years, Senator Greig. It is not necessary and it is part of an antiquated system that really serves no purpose these days. For oversight of employment relations, it is the Industrial Relations Commission, not some strange hybrid group that rarely meets. I understand that the Democrats also were concerned to retain a prohibition on demands being made for seafarers to have to pay some third party to find them a job. If this is the case, the government would consider retaining such a prohibition, but we consider that it is quite appropriate for ship management companies that find crews for ships to be paid a fee by the relevant employer. This is the same situation that applies to shore employment agencies. That is the way the world is going today. Senator Greig, if you had a concern about that, if you were able to talk it through with the bureaucrats, if you had a point that was relevant, we would be prepared to have a look at that. But that is my understanding. You may have information that my bureaucrats and advisers do not have. If you have a point there and are genuinely concerned—I am sure you are genuinely concerned about it, although I suggest some of the information that has been given to you has not been quite as genuine—and if you are interested in pursuing that matter, I am quite happy to make the officers from the department available to talk it through with you. If there is some concern that we can address there, then we would be very happy to amend the legislation to comply with your requirements. The Democrats, as I understand, also want the current sick leave provisions to remain in the Navigation Act. I point out that these provisions are well in excess of the norm applying in other industries in Australia and can considerably add to the costs of Australian shipping companies. This, again, comes back to the question: do you want a modern, efficient and sustainable industry in Australia or do you really want to chase people out of the industry? We are not saying that the standards should be made worse than they are elsewhere; we are saying that the provisions that apply elsewhere in industry in Australia, and apply well elsewhere in industry in Australia, should equally apply to the shipping industry. The government believes that sick leave is a matter that should be left to the employeremployee negotiations and employees are free to have their unions represent them in such negotiations. We are always very happy with that. Knowing the Maritime Union, they would be there. The suggestions that are conjured up of some poor little seafarer wandering along to the big company office and being belted around the head by the uncaring, profit grabbing shipping companies is simply something out of Dickens. These days the union would be there with them, negotiating those agreements and negotiating the sick leave provisions in a way that suits the industry but, importantly, suits the seafarer himself or herself. The governments view and the industrys view is that, to get a modern efficient industry, those sorts of provisions should not be in the Navigation Act, that they should be a matter for negotiation between the parties, and that all the parties should be properly represented in the negotiations. Turning to the sixmonth voyage limit: I understand the Democrats want to retain the current restriction of six months on the length of time seafarers should be at sea without a break. Again, this is a provision that can add significantly to the cost of operating Australian ships, particularly when the six months expire and the ship is a long way from the seafarers port. In some cases, this might happen when a ship is at a port at the opposite end of the world. There is a better way to do that. There is a better way, which, no doubt, we will go through in the committee stage, of overcoming that provision. It is the governments view that, in getting the ultimate goal of a more efficient and effective modern shipping industry that is good for Australia and is sustainable, those provisions should not be in the Navigation Act but should be a matter for arrangement and agreement elsewhere. When this matter went through the House of Representatives, there were three amendments from the Labor Party which were debated and which we have come here to debate today. We found that, as the second reading speech started last night at 6.01, 14 new amendments were tabled. My understanding of those amendments is that they simply gut the bill and leave nothing to debate in the committee.","Second Reading","NAVIGATION AMENDMENT (EMPLOYMENT OF SEAFARERS) BILL 1998","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/speech/talk.start/para","N/A","N/A"
"0","0","0","1","0","0","0","1","Macdonald, Sen Ian","YW4","N/A","N/A","N/A","N/A","—An irrelevant interjection, as usual, Senator. ","Second Reading","NAVIGATION AMENDMENT (EMPLOYMENT OF SEAFARERS) BILL 1998","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/speech/continue[1]/talk.start/para","N/A","N/A"
"0","0","1","0","0","0","0","1","Conroy, Sen Stephen","3L6","N/A","N/A","N/A","N/A","—You just stick to your RTCs. ","Second Reading","NAVIGATION AMENDMENT (EMPLOYMENT OF SEAFARERS) BILL 1998","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/speech/interjection[2]/talk.start/para","N/A","N/A"
"0","0","0","1","0","0","0","1","Macdonald, Sen Ian","YW4","N/A","N/A","N/A","N/A","—Perhaps I could say to Senator Greig, now that you mention RTCs, that if you do have a question this question time on RTCs, could you please ask me. ","Second Reading","NAVIGATION AMENDMENT (EMPLOYMENT OF SEAFARERS) BILL 1998","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/speech/continue[2]/talk.start/para","N/A","N/A"
"0","0","1","0","0","0","0","1","Collins, Sen Jacinta","GB6","N/A","N/A","N/A","N/A","—It was not Senator Greig who made that interjection. ","Second Reading","NAVIGATION AMENDMENT (EMPLOYMENT OF SEAFARERS) BILL 1998","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/speech/interjection[3]/talk.start/para","N/A","N/A"
"0","0","0","1","0","0","0","1","Macdonald, Sen Ian","YW4","N/A","N/A","N/A","N/A","—know it was not Senator Greig, but I am talking to him now. If the Democrats have a question about RTCs, please ask the right minister and you will get the answer. Anyhow, I am being diverted. Overnight, we have had a look at these amendments and we will deal with them in committee. (Time expired)  Question resolved in the affirmative. Bill read a second time.","Second Reading","NAVIGATION AMENDMENT (EMPLOYMENT OF SEAFARERS) BILL 1998","/hansard/chamber.xscript/debate[1]/subdebate.1[1]/speech/continue[3]/talk.start/para","N/A","N/A"
"0","0","0","0","0","0","0","1","N/A","N/A","N/A","N/A","N/A","N/A","The bill.","In Committee","NAVIGATION AMENDMENT (EMPLOYMENT OF SEAFARERS) BILL 1998","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/para","N/A","N/A"
"0","0","1","0","0","0","0","1","CHAIRMAN, The","10000","N/A","N/A","N/A","N/A","—Senator Collins, maybe you would like to move your amendments Nos 3, 5 and 12 first, because they have been circulated. ","In Committee","NAVIGATION AMENDMENT (EMPLOYMENT OF SEAFARERS) BILL 1998","/hansard/chamber.xscript/debate[1]/subdebate.1[2]/interjection/talk.start/para","N/A","N/A"
